"ERPNext Settings","Thiết lập ERPNext"
"Workflow","Luồng duyệt"
"Build","Xây dựng"
"Financial Reports","Báo cáo tài chính"
"Invoicing","Hóa đơn"
"Users","Người dùng"
"Welcome Workspace","Không gian chào mừng"
"Account","Tài khoản"
"Account Category","Nhóm tài khoản"
"Accounting Dimension","Chiều kế toán"
"Accounting Period","Kỳ kế toán"
"Address","Địa chỉ"
"Bank","Ngân hàng"
"Bank Account","Tài khoản ngân hàng"
"Bank Transaction","Giao dịch ngân hàng"
"Batch","Lô"
"Blanket Order","Đơn hàng khung"
"BOM","Định mức nguyên vật liệu"
"BOM Creator","Tạo BOM"
"Company","Công ty"
"Contact","Liên hệ"
"Cost Center","Trung tâm chi phí"
"Customer","Khách hàng"
"Customer Group","Nhóm khách hàng"
"Delivery Note","Phiếu giao hàng"
"Fiscal Year","Năm tài chính"
"Item","Mặt hàng"
"Item Group","Nhóm mặt hàng"
"Item Price","Giá mặt hàng"
"Item Tax Template","Mẫu thuế mặt hàng"
"Journal Entry","Bút toán nhật ký"
"Job Card","Phiếu công việc"
"Lead","Khách tiềm năng"
"Material Request","Yêu cầu vật tư"
"Mode of Payment","Phương thức thanh toán"
"Opportunity","Cơ hội"
"Operation","Công đoạn"
"Payment Entry","Phiếu thanh toán"
"Payment Request","Yêu cầu thanh toán"
"Payment Term","Điều khoản thanh toán"
"Payment Terms Template","Mẫu điều khoản thanh toán"
"Pick List","Danh sách lấy hàng"
"Plant Floor","Sàn sản xuất"
"Price List","Bảng giá"
"Pricing Rule","Quy tắc giá"
"Production Plan","Kế hoạch sản xuất"
"Projects Settings","Thiết lập dự án"
"Purchase Invoice","Hóa đơn mua hàng"
"Purchase Order","Đơn mua hàng"
"Purchase Receipt","Phiếu nhập mua"
"Purchase Taxes and Charges Template","Mẫu thuế và phụ phí mua hàng"
"Quotation","Báo giá"
"Request for Quotation","Yêu cầu báo giá"
"Role","Vai trò"
"Role Profile","Mẫu vai trò"
"Routing","Quy trình công đoạn"
"Sales Forecast","Dự báo bán hàng"
"Sales Invoice","Hóa đơn bán hàng"
"Sales Order","Đơn bán hàng"
"Sales Person","Nhân viên kinh doanh"
"Sales Taxes and Charges Template","Mẫu thuế và phụ phí bán hàng"
"Serial No","Số serial"
"Shipping Rule","Quy tắc giao hàng"
"Stock Entry","Phiếu nhập xuất kho"
"Stock Reconciliation","Đối chiếu tồn kho"
"Supplier","Nhà cung cấp"
"Supplier Group","Nhóm nhà cung cấp"
"Supplier Quotation","Báo giá nhà cung cấp"
"Tax Category","Nhóm thuế"
"Tax Rule","Quy tắc thuế"
"Territory","Khu vực"
"UOM","Đơn vị tính"
"User","Người dùng"
"Warehouse","Kho"
"Warehouse Layout 2D","Sơ đồ kho 2D"
"Work Order","Lệnh sản xuất"
"Workflow State","Trạng thái luồng duyệt"
"Workstation","Trạm làm việc"
"General","Thông tin chung"
"Items","Mặt hàng"
"Pricing and Invoicing","Định giá và hóa đơn"
"Involved Parties","Các bên liên quan"
"Document Flow","Luồng chứng từ"
"Changes","Thay đổi"
"Approval Process","Quy trình duyệt"
"Output History","Lịch sử đầu ra"
"Account Management","Quản lý tài khoản"
"Ship-To","Nơi nhận hàng"
"Bill-To","Nơi xuất hóa đơn"
"Requested Date","Ngày yêu cầu"
"Issue Date","Ngày phát hành"
"Delivery","Giao hàng"
"Payment","Thanh toán"
"Invoicing Status","Trạng thái hóa đơn"
"Delivery Status","Trạng thái giao hàng"
"Payment Method","Phương thức thanh toán"
"Credit Status","Trạng thái tín dụng"
"Sales Unit","Đơn vị bán hàng"
"Sales Organization","Tổ chức bán hàng"
"Distribution Channel","Kênh phân phối"
"Incoterms","Điều kiện Incoterms"
"Shipping Condition","Điều kiện giao hàng"
"Customer Information","Thông tin khách hàng"
"Internal Comment","Ghi chú nội bộ"
"Notes","Ghi chú"
"Approval Note","Ghi chú duyệt"
"New","Mới"
"Create","Tạo"
"Edit","Sửa"
"Delete","Xóa"
"Submit","Xác nhận"
"Cancel","Hủy"
"Close","Đóng"
"Update","Cập nhật"
"Actions","Thao tác"
"More","Thêm"
"Filters","Bộ lọc"
"Clear Filters","Xóa bộ lọc"
"Group By","Nhóm theo"
"All","Tất cả"
"Open","Mở"
"View","Xem"
"Print","In"
"Add","Thêm"
"Add Row","Thêm dòng"
"Active","Đang hoạt động"
"Inactive","Ngưng hoạt động"
"Status","Trạng thái"
"Description","Mô tả"
"Owner","Người phụ trách"
"Creation","Ngày tạo"
"Modified","Ngày sửa"
"Modified By","Người sửa"
"Disabled","Đã vô hiệu"
"Enabled","Đã bật"
"Enterprise ERP Overview","Tổng quan ERP doanh nghiệp"
"Business Control Center","Trung tâm điều hành"
"Workspace Navigation","Điều hướng phân hệ"
"Modules","Phân hệ"
"No modules to display.","Chưa có phân hệ để hiển thị"
"Open each business area directly from Desk without scanning the old icon grid.","Mở nhanh từng khu vực nghiệp vụ ngay từ Desk mà không cần lướt qua lưới biểu tượng cũ."
"ERP Modules","Phân hệ ERP"
"Open workspace","Mở workspace"
"Live","Cập nhật"
"modules","mô-đun"
"Refresh dashboard","Làm mới bảng điều khiển"
"Operations Pulse","Nhịp vận hành"
"Document Flow Over 14 Days","Luồng chứng từ 14 ngày"
"Work Queue","Hàng chờ xử lý"
"Pending Actions","Việc cần xử lý"
"Recent Activity","Hoạt động gần đây"
"Latest Documents","Chứng từ mới nhất"
"System Readiness","Mức sẵn sàng hệ thống"
"Core Setup Status","Tình trạng cấu hình nền"
"Workspace Modules","Phân hệ làm việc"
"Functional Areas","Khu vực chức năng"
"modules ready","mô-đun sẵn sàng"
"No counterparty","Chưa có đối tượng"
"Series","Chuỗi"
"Item Master","Mã hàng"
"Customer Master","Khách hàng"
"Sales Orders (30 Days)","Đơn bán 30 ngày"
"Purchase Orders (30 Days)","Đơn mua 30 ngày"
"Available Modules","Phân hệ khả dụng"
"Master data will appear here after import.","Dữ liệu danh mục sẽ hiện ở đây sau khi import."
"Customer records are waiting for live data.","Hồ sơ khách hàng đang chờ dữ liệu thật."
"Activity volume will appear here once transactions begin.","Khối lượng vận hành sẽ phản ánh tại đây khi phát sinh giao dịch."
"All workspaces are ready to access from the left navigation.","Toàn bộ phân hệ đã sẵn sàng để truy cập từ thanh điều hướng bên trái."
"Sales Orders","Đơn bán"
"Purchase Orders","Đơn mua"
"Sales Invoices","Hóa đơn bán"
"Purchase Receipts","Nhập hàng"
"Approval pipeline will appear here as sales data arrives.","Pipeline phê duyệt sẽ hiện tại đây ngay khi có dữ liệu bán hàng."
"Delivery preparation and dispatch progress are collected here.","Tiến độ giao hàng và xuất kho được gom tại một chỗ."
"Open purchase orders will be highlighted here.","Đơn mua chưa hoàn tất sẽ được nhắc tại đây."
"Warehouses","Kho"
"Sales Taxes","Thuế bán"
"Purchase Taxes","Thuế mua"
"Warehouses are ready for operations.","Hạ tầng kho sẵn sàng cho vận hành."
"Financial foundation is ready for accounting.","Khung tài chính nền cho kế toán."
"Tax templates are ready for the sales flow.","Template thuế cho luồng bán hàng."
"Tax templates are ready for the purchase flow.","Template thuế cho luồng mua hàng."
"Run sales, purchasing, stock, and finance from one focused dashboard.","Điều hành bán hàng, mua hàng, kho và tài chính ngay từ một dashboard mở đầu gọn, hiện đại và dễ theo dõi hơn."
"Master data is ready for import.","Danh mục hàng hóa đã sẵn sàng để import."
"Customer records currently managed in the system.","Hồ sơ khách hàng đang quản lý trên hệ thống."
"Sales order volume posted in the last 30 days.","Khối lượng đơn bán phát sinh trong 30 ngày gần nhất."
"Purchase order volume posted in the last 30 days.","Khối lượng đơn mua phát sinh trong 30 ngày gần nhất."
"Draft orders or orders pending internal approval.","Đơn nháp hoặc đang ở vòng phê duyệt nội bộ."
"Delivery notes are being prepared for dispatch.","Phiếu giao hàng đang chuẩn bị xuất kho."
"Purchase orders are not yet completed or closed.","Đơn mua chưa hoàn tất hoặc chưa đóng."
"Purchase receipts are waiting in the intake preparation step.","Phiếu nhập đang nằm ở bước chuẩn bị nhận hàng."
"Warehouse structure and storage locations are ready.","Cấu trúc kho và vị trí lưu trữ đang sẵn sàng."
"Foundational finance setup for accounting and reconciliation.","Khung tài chính cơ sở cho kế toán và đối soát."
"Sales tax templates are available for orders and invoices.","Mẫu thuế bán hàng khả dụng để áp lên đơn và hóa đơn."
"Purchase tax templates are available for import and matching.","Mẫu thuế mua hàng khả dụng để import và đối chiếu."
"Site is currently in a clean data state. Import masters and transactions for the dashboard to reflect live operations.","Site đang ở trạng thái sạch dữ liệu. Import master và chứng từ để dashboard bắt đầu phản ánh vận hành thực tế."
"Track sales, purchasing, and recent transactions in one command center.","Theo dõi nhịp độ bán hàng, mua hàng và chứng từ gần đây ngay trong một command center duy nhất."
